id,kind,area,surface,capability,handler,events,exposure,sdk,mcp,consumers,fixtures,platforms,status,nextGate,source,reason
"dom:#p-fillbrushsize","dom","drawing-selection","p-fillbrushsize-row > input[number]#p-fillbrushsize","fillbrushsize","src/js/timeline.js:10784","input","UI (contextual)","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1178",""
"dom:#p-fillgapclose","dom","drawing-selection","p-fillgapclose-row > select#p-fillgapclose","fillgapclose","src/js/fill-bridge.js:245 init()","change","UI (contextual)","none","none (R14)","render@1 selection@2 animation@2 history@3 persist@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1175",""
"dom:#p-fillgapsize","dom","drawing-selection","p-fillgapsize-row > input[number]#p-fillgapsize","fillgapsize","src/js/fill-bridge.js:251 init()","change","UI (contextual)","none","none (R14)","render@1 animation@3 native@3 selection@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1176",""
"dom:#p-grad-kind","dom","drawing-selection","p-grad-kind-row > select#p-grad-kind","grad kind","src/js/gradient-bridge.js:302 init()","change","UI (contextual)","none","none (R14)","persist@1 history@1 render@1 selection@2 animation@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:904",""
"dom:#p-grad-on","dom","drawing-selection","p-fill-gradient-editor > input[checkbox]#p-grad-on","grad on","src/js/gradient-bridge.js:300 init()","change","UI (contextual)","none","none (R14)","persist@2 history@2 render@2 selection@3 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:903",""
"dom:#p-harmonize-tween","dom","drawing-selection","tween-sec > input[checkbox]#p-harmonize-tween","harmonize tween","src/js/timeline.js:11153","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1344",""
"dom:#p-imagemesh-cols","dom","animation-rigs-expressions","p-imagemesh-body > input[number]#p-imagemesh-cols","imagemesh cols","src/js/image-mesh-bridge.js:377 init()","change","UI (contextual)","none","none (R14)","history@1 render@1 persist@3 animation@3 native@3 selection@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1060",""
"dom:#p-imagemesh-edit","dom","animation-rigs-expressions","p-imagemesh-body > input[checkbox]#p-imagemesh-edit","imagemesh edit","src/js/image-mesh-bridge.js:375 init()","change","UI (contextual)","none","none (R14)","render@1 animation@3 native@3 selection@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1057",""
"dom:#p-imagemesh-on","dom","animation-rigs-expressions","p-imagemesh-sec > input[checkbox]#p-imagemesh-on","imagemesh on","src/js/image-mesh-bridge.js:373 init()","change","UI (contextual)","none","none (R14)","history@2 render@2","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1055",""
"dom:#p-imagemesh-rows","dom","animation-rigs-expressions","p-imagemesh-body > input[number]#p-imagemesh-rows","imagemesh rows","src/js/image-mesh-bridge.js:378 init()","change","UI (contextual)","none","none (R14)","history@1 render@1 persist@3 animation@3 native@3 selection@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1061",""
"dom:#p-join-grp","dom","drawing-selection","stroke-sec > div#p-join-grp","join grp","src/js/timeline.js:10569 wireIconGroup() | src/js/timeline.js:10593","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:962",""
"dom:#p-mask-feather","dom","effects-masks","mask-sec > input[number]#p-mask-feather","Softens the combined mask's edge (shared across this layer's masks)","src/js/timeline.js:2797","input","UI (contextual)","none","none (R14)","persist@1 selection@1 render@1 animation@3 native@3","masks-alpha | mesh","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:500",""
"dom:#p-mask-mode","dom","effects-masks","mask-sec > select#p-mask-mode","Add = union with this layer's other masks · Subtract = punches a hole · Intersect = keeps only the overlap","src/js/timeline.js:2792","change","UI (contextual)","none","none (R14)","persist@1 history@1 selection@1 render@1 animation@3 native@3","masks-alpha | mesh","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:499",""
"dom:#p-maskmode","dom","effects-masks","p-maskmode-row > input[checkbox]#p-maskmode","maskmode","src/js/timeline.js:10827","change","UI","none","none (R14)","","masks-alpha | mesh","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1192",""
"dom:#p-maskmode-type","dom","effects-masks","p-maskmode-row > select#p-maskmode-type","Add = union with this layer's other masks · Subtract = punches a hole · Intersect = keeps only the overlap","src/js/timeline.js:10828","change","UI","none","none (R14)","","masks-alpha | mesh","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1192",""
"dom:#p-mattemode","dom","effects-masks","layer-sec > div#p-mattemode","None","src/js/timeline.js:11068 initMatteDropdown()","click","UI (contextual)","none","none (R14)","","masks-alpha | mesh","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:686",""
"dom:#p-miterlimit","dom","drawing-selection","stroke-sec > input[number]#p-miterlimit","Miter limit — how far a sharp Join:Miter corner can extend before falling back to a bevel","src/js/timeline.js:10553","change","UI","none","none (R14)","persist@2 history@2 selection@2","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:967",""
"dom:#p-nib-angle","dom","drawing-selection","p-nib-row > input[number]#p-nib-angle","nib angle","src/js/fill-bridge.js:226 init()","change","UI","none","none (R14)","render@1 animation@3 native@3 selection@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1185",""
"dom:#p-nib-factor","dom","drawing-selection","p-nib-row > input[number]#p-nib-factor","nib factor","src/js/fill-bridge.js:232 init()","change","UI","none","none (R14)","render@1 animation@3 native@3 selection@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1185",""
"dom:#p-om-follow","dom","timeline-layers-frames","onion-pop > input[checkbox]#p-om-follow","om follow","src/js/timeline.js:11299","change","UI (contextual)","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2054",""
"dom:#p-omode","dom","timeline-layers-frames","onion-pop > select#p-omode","omode","src/js/timeline.js:11372","change","UI (contextual)","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2018",""
"dom:#p-onion-shift-next","dom","timeline-layers-frames","onion-pop > input[checkbox]#p-onion-shift-next","onion shift next","src/js/timeline.js:11392 initOnionTintShift()","change","UI (contextual)","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2052",""
"dom:#p-onion-shift-reset","dom","timeline-layers-frames","onion-pop > button[button]#p-onion-shift-reset","Zero","src/js/timeline.js:11393 initOnionTintShift()","click","UI (contextual)","none","none (R14)","render@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2049",""
"dom:#p-onion-shift-x","dom","timeline-layers-frames","onion-pop > input[number]#p-onion-shift-x","Horizontal ghost offset","src/js/timeline.js:11392 initOnionTintShift()","input","UI (contextual)","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2047",""
"dom:#p-onion-shift-y","dom","timeline-layers-frames","onion-pop > input[number]#p-onion-shift-y","Vertical ghost offset","src/js/timeline.js:11392 initOnionTintShift()","input","UI (contextual)","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2048",""
"dom:#p-onion-tint-next","dom","timeline-layers-frames","onion-pop > input[color]#p-onion-tint-next","Tint for next frames","src/js/timeline.js:11386 initOnionTintShift()","input","UI (contextual)","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2040",""
"dom:#p-onion-tint-prev","dom","timeline-layers-frames","onion-pop > input[color]#p-onion-tint-prev","Tint for previous frames","src/js/timeline.js:11385 initOnionTintShift()","input","UI (contextual)","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2039",""
"dom:#p-onion-tint-reset","dom","timeline-layers-frames","onion-pop > button[button]#p-onion-tint-reset","Default","src/js/timeline.js:11387 initOnionTintShift()","click","UI (contextual)","none","none (R14)","render@1 native@3 animation@3 selection@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2041",""
"dom:#p-onop","dom","timeline-layers-frames","onion-pop > input[number]#p-onop","onop","src/js/timeline.js:11399","input","UI (contextual)","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2021",""
"dom:#p-opacity","dom","drawing-selection","fill-sec > input[number]#p-opacity","opacity","src/js/timeline.js:10549","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:886",""
"dom:#p-opop","dom","timeline-layers-frames","onion-pop > input[number]#p-opop","opop","src/js/timeline.js:11398","input","UI (contextual)","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2020",""
"dom:#p-paintorder-grp","dom","drawing-selection","stroke-sec > div#p-paintorder-grp","paintorder grp","src/js/timeline.js:10569 wireIconGroup()","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:968",""
"dom:#p-pcurve","dom","animation-rigs-expressions","tool-opts-sec > select#p-pcurve","Pressure response: sqrt/cbrt = a light touch already widens the line (soft felt-tip), pow2/pow3 = you must press hard to thicken it (hard pencil)","src/js/timeline.js:10822","change","UI","none","none (R14)","","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1184",""
"dom:#p-pinv","dom","drawing-selection","tool-opts-sec > input[checkbox]#p-pinv","pinv","src/js/timeline.js:10824","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1187",""
"dom:#p-pmax","dom","drawing-selection","tool-opts-sec > input[number]#p-pmax","Width at full pressure (% of brush size)","src/js/timeline.js:10821","input","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1182",""
"dom:#p-pmin","dom","drawing-selection","tool-opts-sec > input[number]#p-pmin","Width at zero pressure (% of brush size)","src/js/timeline.js:10820","input","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1181",""
"dom:#p-poststroke-smooth","dom","drawing-selection","stroke-sec > input[number]#p-poststroke-smooth","poststroke smooth","src/js/timeline.js:10561","change","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:956",""
"dom:#p-ref-menu","dom","media-import-export","layer-sec > div#p-ref-menu","None","src/js/reference-bridge.js:433 init() | src/js/reference-bridge.js:434 init()","click | keydown","UI (contextual)","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:712",""
"dom:#p-ref-offset","dom","media-import-export","ref-pop > input[number]#p-ref-offset","Timeline frame at which the reference starts","src/js/reference-bridge.js:450 init()","change","UI (contextual)","none","none (R14)","native@2 render@2","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:731",""
"dom:#p-ref-on","dom","media-import-export","ref-pop > input[checkbox]#p-ref-on","ref on","src/js/reference-bridge.js:446 init()","change","UI (contextual)","none","none (R14)","native@2 render@2","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:720",""
"dom:#p-ref-opacity","dom","media-import-export","ref-pop > input[number]#p-ref-opacity","ref opacity","src/js/reference-bridge.js:448 init()","input","UI (contextual)","none","none (R14)","render@2","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:730",""
"dom:#p-resamp","dom","drawing-selection","tween-sec > input[number]#p-resamp","resamp","src/js/timeline.js:11150","input","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1342",""
"dom:#p-shadowmode","dom","drawing-selection","p-shadowmode-row > input[checkbox]#p-shadowmode","shadowmode","src/js/timeline.js:10826","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1191",""
"dom:#p-skipmanual","dom","drawing-selection","tween-sec > input[checkbox]#p-skipmanual","skipmanual","src/js/timeline.js:11152","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1343",""
"dom:#p-smooth","dom","drawing-selection","tool-opts-sec > input[number]#p-smooth","Simplifies the curve AFTER the fact (fewer points, more efficient stroke) — has no effect on shakiness while drawing, that's what Stabilizer above handles. At 0: the point count isn't reduced, but the stroke can still look visibly smoothed if Stabilizer is enabled.","src/js/timeline.js:10550","input","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1168",""
"dom:#p-stab","dom","drawing-selection","tool-opts-sec > select#p-stab","Smooths POSITION live while you draw (corrects hand shake) — acts BEFORE the stroke is laid down, independent of Smooth below. Off/Low/Medium/High: classic sliding average. Quill: physical spring-damper model (Google ink-stroke-modeler, like rnote), catches up to the tip on release. Set this to Off if you want a stroke that follows your hand pixel-perfectly.","src/js/timeline.js:10551","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1167",""
"dom:#p-star-corner","dom","drawing-selection","star-sec > input[number]#p-star-corner","star corner","src/js/timeline.js:2926","input","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:534",""
"dom:#p-star-inner","dom","drawing-selection","star-sec > input[number]#p-star-inner","star inner","src/js/timeline.js:2925","input","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:533",""
"dom:#p-star-points","dom","drawing-selection","star-sec > input[number]#p-star-points","star points","src/js/timeline.js:2924","input","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:532",""
"dom:#p-step","dom","drawing-selection","tween-sec > select#p-step","step","src/js/timeline.js:11151","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1341",""
"dom:#p-stroke-alpha","dom","drawing-selection","stroke-sec > input[number]#p-stroke-alpha","Stroke opacity (color alpha)","src/js/timeline.js:10490","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:928",""
"dom:#p-stroke-hex","dom","drawing-selection","stroke-sec > input[text]#p-stroke-hex","Hex code — type to change","src/js/timeline.js:10480 | src/js/timeline.js:10499","change | keydown","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:927",""
"dom:#p-strokegrad-along","dom","drawing-selection","p-strokegrad-row > input[checkbox]#p-strokegrad-along","strokegrad along","src/js/timeline.js:10416 | src/js/timeline.js:10621","change","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:939",""
"dom:#p-strokegrad-from","dom","drawing-selection","p-strokegrad-row > div#p-strokegrad-from","strokegrad from","","","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","unmapped","R03 follow-up: bind a handler or record unavailable-with-reason (referenced without an event registration at src/js/timeline.js:3676 updateSelPropsPanel())","src/index.html:940",""
"dom:#p-strokegrad-from-c","dom","drawing-selection","p-strokegrad-from > input[color]#p-strokegrad-from-c","strokegrad from c","src/js/timeline.js:10428","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:940",""
"dom:#p-strokegrad-to","dom","drawing-selection","p-strokegrad-row > div#p-strokegrad-to","strokegrad to","","","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","unmapped","R03 follow-up: bind a handler or record unavailable-with-reason (referenced without an event registration at src/js/timeline.js:3678 updateSelPropsPanel())","src/index.html:941",""
"dom:#p-strokegrad-to-c","dom","drawing-selection","p-strokegrad-to > input[color]#p-strokegrad-to-c","strokegrad to c","src/js/timeline.js:10436","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:941",""
"dom:#p-strokestyle","dom","drawing-selection","stroke-sec > select#p-strokestyle","strokestyle","src/js/timeline.js:10552","change","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:950",""
"dom:#p-sw","dom","drawing-selection","stroke-sec > input[number]#p-sw","Stroke width (px) — also drives Bitmap Brush dab size","src/js/timeline.js:10384","change","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:949",""
"dom:#p-taper","dom","drawing-selection","p-taper-row > input[checkbox]#p-taper","taper","src/js/timeline.js:10825","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1189",""
"dom:#p-textanim-add","dom","animation-rigs-expressions","p-textanim-add-row > button#p-textanim-add","Add an animator: a range selector plus the properties it drives","src/js/text-animator-panel.js:467 init()","click","UI (contextual)","none","none (R14)","history@1 animation@1 persist@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1126",""
"dom:#p-trimends","dom","drawing-selection","p-trimends-row > input[checkbox]#p-trimends","trimends","src/js/fill-bridge.js:238 init()","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1190",""
"dom:#p-trimends-max","dom","drawing-selection","p-trimends-row > input[number]#p-trimends-max","trimends max","src/js/fill-bridge.js:240 init()","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1190",""
"dom:#p-vecbrush","dom","drawing-selection","p-vecbrush-row > input[checkbox]#p-vecbrush","vecbrush","src/js/timeline.js:10667","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1179",""
"dom:#p-widget-h","dom","animation-rigs-expressions","p-widget-sec > input[number]#p-widget-h","widget h","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1075",""
"dom:#p-widget-w","dom","animation-rigs-expressions","p-widget-sec > input[number]#p-widget-w","widget w","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1074",""
"dom:#p-widget-xadd","dom","animation-rigs-expressions","p-widget-xrest-row > button#p-widget-xadd","Link a property or drive a pose from this axis","src/js/rig-widget.js:617 initWidgetPanelFields()","click","UI (contextual)","none","none (R14)","animation@2 history@3 render@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1085",""
"dom:#p-widget-xmax","dom","animation-rigs-expressions","p-widget-xrange-row > input[number]#p-widget-xmax","widget xmax","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1080",""
"dom:#p-widget-xmin","dom","animation-rigs-expressions","p-widget-xrange-row > input[number]#p-widget-xmin","widget xmin","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1079",""
"dom:#p-widget-xrest","dom","animation-rigs-expressions","p-widget-xrest-row > input[number]#p-widget-xrest","widget xrest","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1084",""
"dom:#p-widget-yadd","dom","animation-rigs-expressions","p-widget-yrest-row > button#p-widget-yadd","Link a property or drive a pose from this axis","src/js/rig-widget.js:619 initWidgetPanelFields()","click","UI (contextual)","none","none (R14)","animation@2 history@3 render@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1095",""
"dom:#p-widget-ymax","dom","animation-rigs-expressions","p-widget-yrange-row > input[number]#p-widget-ymax","widget ymax","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1090",""
"dom:#p-widget-ymin","dom","animation-rigs-expressions","p-widget-yrange-row > input[number]#p-widget-ymin","widget ymin","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1089",""
"dom:#p-widget-yrest","dom","animation-rigs-expressions","p-widget-yrest-row > input[number]#p-widget-yrest","widget yrest","src/js/rig-widget.js:597 bindWidgetField()","change","UI (contextual)","none","none (R14)","history@1 persist@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1094",""
"dom:#p2p-add-contact","dom","project-lifecycle-integrations","settings-modal > button#p2p-add-contact","Add","src/js/p2p-contacts.js:155 init()","click","UI (modal)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1841",""
"dom:#p2p-copy-code","dom","project-lifecycle-integrations","settings-modal > button#p2p-copy-code","Copy","src/js/p2p-contacts.js:137 init()","click","UI (modal)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1837",""
"dom:#p2p-invite-input","dom","project-lifecycle-integrations","settings-modal > input[text]#p2p-invite-input","p2p invite input","src/js/p2p-contacts.js:156 init()","keydown","UI (modal)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1840",""
"dom:#p2p-my-code","dom","preferences-workspace","settings-modal > input[text]#p2p-my-code","p2p my code","src/js/timeline.js:9033 initSettingsModal()","click","UI (modal)","none","none (R14)","","","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1836",""
"dom:#palette-replace-scope","dom","drawing-selection","swatches-sec > select#palette-replace-scope","Scope of the colour replace","src/js/palette-panel.js:279 init()","change","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1218",""
"dom:#path-fx-add","dom","effects-masks","path-fx-sec > select#path-fx-add","path fx add","src/js/effects-panel.js:858 renderPathFxList()","change","UI (contextual)","none","none (R14)","history@3 render@3","masks-alpha | mesh","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:643",""
"dom:#pm-fill","dom","drawing-selection","fill-sec > div#pm-fill","Click to pick a color, double-click to toggle fill on/off","src/js/ui.js:1125","dblclick","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:883",""
"dom:#pm-fill-c","dom","drawing-selection","pm-fill > input[color]#pm-fill-c","pm fill c","src/js/timeline.js:10395","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:883",""
"dom:#pm-stroke","dom","drawing-selection","stroke-sec > div#pm-stroke","pm stroke","","","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","unmapped","R03 follow-up: bind a handler or record unavailable-with-reason (referenced without an event registration at src/js/timeline.js:3800 updateFsSelPanel())","src/index.html:926",""
"dom:#pm-stroke-c","dom","drawing-selection","pm-stroke > input[color]#pm-stroke-c","pm stroke c","src/js/timeline.js:10403","input","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:926",""
"dom:#profile-color","dom","drawing-selection","profile-color-well > input[color]#profile-color","profile color","src/js/timeline.js:9069 initProfileFields()","input","UI (modal)","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1778",""
